method,n_frames,scale,ATE_mean_m,ATE_median_m,ATE_rmse_m,ATE_std_m,ATE_max_m,Rot_mean_deg,Rot_median_deg,Rot_rmse_deg,Rot_std_deg,Rot_max_deg
COLMAP,176,0.02591,0.00584,0.00576,0.00652,0.0029,0.01367,120.39753,120.30901,120.39999,0.76974,122.19229
MASt3R,176,0.06612,0.04066,0.02935,0.06193,0.04672,0.28634,112.16031,110.35614,112.59686,9.90543,131.58341
