instance_id,semantic_class_majority,n_points,mean_confidence,centroid_x,centroid_y,centroid_z,length,width,thickness,convex_hull_volume,ExG,GLI,VARI,NGRDI
1,1,174696,3.5931045931217658,3.8303685865825154,11.628337978494795,14.598577967671206,34.67672354859829,17.05754253432645,9.543508920907266,2028.4159122644337,0.08191888744324033,0.06712687510732304,0.6225253341388,-0.055195438941456995
8,2,74112,14.912848121761659,11.586400761885598,12.321713243157918,27.850284186853838,7.729948794211171,5.004265702418506,3.0689349088763063,49.097135871139905,0.2249114747366995,0.24539245583209246,0.21069539745509577,0.15147145884925783
4,2,69528,40.218933379357956,-3.536267050547334,3.3734598726029827,19.674202864246187,7.23378465035472,6.325759964798489,2.086176321974197,41.64572593126995,0.21819523690272336,0.21217673685855037,0.1435983601920942,0.10370109967268493
20,2,59992,65.5754767302307,6.220036430008807,16.797845442447557,33.73086041613065,7.24498107992514,6.2455282036113715,2.6405101784163327,46.47373216889162,0.24541317927357634,0.16228612976991239,0.19482516288802695,0.12094383276367891
14,2,59223,50.07833105381355,-0.7041121265469987,12.765305926699515,19.371729296969576,7.800998709548413,7.209570103705935,1.4315587135510761,35.78208133459648,0.20053033184974173,0.22719046930442136,0.21194163269929847,0.14895752045760874
10,2,57937,43.57017104786233,13.111896771482007,19.147544305983008,29.060732573127066,6.810728858580882,5.653605068915905,2.434643434927634,38.29620710524495,0.2557392461791662,0.2045818724905856,0.18037669913409538,0.12299009486401624
11,2,56228,48.69572099309952,5.3715233054253515,20.457024414150368,20.468551836643925,6.8805139856229465,7.342125372374544,2.0174481868885,34.63158028454182,0.30040604987815717,0.2428446756880111,0.18587228894969687,0.13729778180425087
2,2,49103,31.159603282895137,12.011119776142205,12.199407087045032,5.0276845863050985,6.0631605661792936,5.183555206066888,1.790869134525623,24.027873919820316,0.2555878339768386,0.16448174025167292,0.12607436184810547,0.08347485669215882
9,2,47792,59.563943756277204,13.005163844485528,14.246112742286709,31.450205452933268,6.376712075935593,6.103102868952666,2.305629984683287,31.95733071471561,0.30796211688558917,0.20448254528189472,0.21705951868736348,0.14395884274664408
19,2,46745,39.465097871430096,-0.4970278794830394,14.305548265616519,25.310886923701837,6.649651792028125,4.733066777015555,2.34963839743656,31.80301390014919,0.2018492488449011,0.20613122035138134,0.1730398138052565,0.11939902306950784
25,2,45696,15.562981442577032,5.430599076609234,5.028850150652384,10.448148140066653,6.089859312828925,5.310584920207807,1.291146684864485,16.13150864364091,0.31639402084363155,0.22350582172939668,0.14535772440765346,0.11020490100259023
5,2,44761,34.7281562074127,-0.5017927301270617,3.619275671057717,30.488279662041112,6.68813958455574,5.673957504797349,2.6398468760252713,34.47121195744238,0.14359436676974136,0.2244507162299003,0.2197027896067856,0.15243763667446392
